PaymentID,OrderID,PaymentMode,PaymentDate,PaymentStatus
PM001,O001,Net Banking,2022-12-18,Success
PM002,O002,Debit Card,2022-09-30,Success
PM003,O003,PayPal,2022-02-23,Success
PM004,O004,Net Banking,2022-10-13,Success
PM005,O005,Credit Card,2022-05-15,Success
PM006,O006,UPI,2022-06-17,Success
PM007,O007,Debit Card,2023-12-24,Success
PM008,O008,Debit Card,2022-04-25,Success
PM009,O009,UPI,2022-06-02,Success
PM010,O010,UPI,2023-08-22,Success
PM011,O011,Net Banking,2022-05-11,Success
PM012,O012,PayPal,2022-02-12,Success
PM013,O013,Debit Card,2023-11-30,Success
PM014,O014,Credit Card,2022-12-31,Success
PM015,O015,Debit Card,2023-09-30,Success
PM016,O016,Credit Card,2022-06-16,Success
PM017,O017,UPI,2023-02-28,Success
PM018,O018,Net Banking,2022-12-09,Success
PM019,O019,PayPal,2023-11-17,Success
PM020,O020,PayPal,2022-10-01,Success
PM021,O021,PayPal,2022-04-23,Success
PM022,O022,Credit Card,2023-04-27,Success
PM023,O023,PayPal,2022-12-26,Success
PM024,O024,PayPal,2022-08-19,Success
PM025,O025,Credit Card,2023-02-14,Success
PM026,O026,Net Banking,2022-10-15,Success
PM027,O027,Credit Card,2023-02-15,Success
PM028,O028,UPI,2022-12-08,Success
PM029,O029,PayPal,2022-09-25,Success
PM030,O030,UPI,2022-02-11,Success
PM031,O031,Debit Card,2022-12-21,Success
PM032,O032,Debit Card,2023-03-24,Success
PM033,O033,Credit Card,2022-05-01,Success
PM034,O034,Credit Card,2022-07-14,Success
PM035,O035,Net Banking,2023-03-23,Success
PM036,O036,Credit Card,2023-12-05,Success
PM037,O037,Debit Card,2023-11-18,Success
PM038,O038,UPI,2022-03-14,Success
PM039,O039,UPI,2023-10-01,Success
PM040,O040,Debit Card,2022-11-04,Success
PM041,O041,Net Banking,2023-02-25,Success
PM042,O042,UPI,2022-10-30,Success
PM043,O043,PayPal,2023-03-07,Success
PM044,O044,UPI,2023-11-27,Success
PM045,O045,PayPal,2023-09-24,Success
PM046,O046,Credit Card,2023-07-18,Success
PM047,O047,PayPal,2022-10-21,Success
PM048,O048,Net Banking,2023-09-16,Success
PM049,O049,Credit Card,2023-03-29,Success
PM050,O050,Debit Card,2023-06-10,Success
PM051,O051,Credit Card,2022-06-24,Success
PM052,O052,Credit Card,2023-06-13,Success
PM053,O053,PayPal,2022-12-11,Success
